Ticker,Timestamp,Volume,Open,Close,Low,High
BIAF,2022-09-02 20:30:00,2513186,10.069999694824219,9.265800476074219,8.819999694824219,10.169400215148926
BIAF,2022-09-02 20:31:00,88614,9.230999946594238,9.680000305175781,9.161999702453613,9.890000343322754
BIAF,2022-09-02 20:32:00,113229,9.680000305175781,9.836199760437012,9.670000076293945,10.09000015258789
BIAF,2022-09-02 20:33:00,82698,9.83530044555664,10.04010009765625,9.720000267028809,10.350000381469727
BIAF,2022-09-02 20:34:00,139849,10.279899597167969,10.630000114440918,10.050100326538086,10.630000114440918
BIAF,2022-09-02 20:35:00,,,,,
BIAF,2022-09-02 20:36:00,,,,,
BIAF,2022-09-02 20:37:00,,,,,
BIAF,2022-09-02 20:38:00,,,,,
BIAF,2022-09-02 20:39:00,300311,10.75,10.999899864196777,10.75,11.0
BIAF,2022-09-02 20:40:00,516712,11.5,10.899999618530273,10.738200187683105,11.5
BIAF,2022-09-02 20:41:00,299608,11.0,11.077799797058105,10.96500015258789,11.399999618530273
BIAF,2022-09-02 20:42:00,781871,11.964599609375,12.289999961853027,11.829000473022461,12.289999961853027
BIAF,2022-09-02 20:43:00,646405,12.25,11.699999809265137,11.5,12.59000015258789
BIAF,2022-09-02 20:44:00,473711,11.739999771118164,11.739999771118164,11.69260025024414,11.800000190734863
BIAF,2022-09-02 20:45:00,903704,12.0,12.550000190734863,12.0,12.800000190734863
BIAF,2022-09-02 20:46:00,423819,12.0,12.309900283813477,11.949999809265137,12.319100379943848
BIAF,2022-09-02 20:47:00,505454,12.25,12.174099922180176,11.970100402832031,12.5
BIAF,2022-09-02 20:48:00,382487,11.75,11.779999732971191,11.600000381469727,11.779999732971191
BIAF,2022-09-02 20:49:00,247385,12.034000396728516,12.069999694824219,11.680000305175781,12.100000381469727
BIAF,2022-09-02 20:50:00,282154,12.09000015258789,12.149999618530273,11.920000076293945,12.26990032196045
BIAF,2022-09-02 20:51:00,369749,12.081000328063965,10.880000114440918,10.880000114440918,12.149999618530273
BIAF,2022-09-02 20:52:00,,,,,
BIAF,2022-09-02 20:53:00,,,,,
